Current(A)	Counts(n)
-40.0000	10000.0000
-39.6800	10376.9018
-39.3600	10753.2681
-39.0400	11128.5638
-38.7200	11502.2559
-38.4000	11873.8131
-38.0800	12242.7076
-37.7600	12608.4151
-37.4400	12970.4158
-37.1200	13328.1954
-36.8000	13681.2455
-36.4800	14029.0644
-36.1600	14371.1577
-35.8400	14707.0393
-35.5200	15036.2320
-35.2000	15358.2679
-34.8800	15672.6895
-34.5600	15979.0498
-34.2400	16276.9136
-33.9200	16565.8576
-33.6000	16845.4711
-33.2800	17115.3568
-32.9600	17375.1312
-32.6400	17624.4251
-32.3200	17862.8843
-32.0000	18090.1699
-31.6800	18305.9590
-31.3600	18509.9448
-31.0400	18701.8375
-30.7200	18881.3645
-30.4000	19048.2705
-30.0800	19202.3185
-29.7600	19343.2894
-29.4400	19470.9830
-29.1200	19585.2179
-28.8000	19685.8316
-28.4800	19772.6812
-28.1600	19845.6433
-27.8400	19904.6143
-27.5200	19949.5102
-27.2000	19980.2673
-26.8800	19996.8419
-26.5600	19999.2104
-26.2400	19987.3696
-25.9200	19961.3361
-25.6000	19921.1470
-25.2800	19866.8594
-24.9600	19798.5505
-24.6400	19716.3173
-24.3200	19620.2767
-24.0000	19510.5652
-23.6800	19387.3386
-23.3600	19250.7721
-23.0400	19101.0597
-22.7200	18938.4142
-22.4000	18763.0668
-22.0800	18575.2666
-21.7600	18375.2804
-21.4400	18163.3925
-21.1200	17939.9040
-20.8000	17705.1324
-20.4800	17459.4115
-20.1600	17203.0902
-19.8400	16936.5331
-19.5200	16660.1187
-19.2000	16374.2399
-18.8800	16079.3030
-18.5600	15775.7270
-18.2400	15463.9435
-17.9200	15144.3953
-17.6000	14817.5367
-17.2800	14483.8322
-16.9600	14143.7558
-16.6400	13797.7910
-16.3200	13446.4292
-16.0000	13090.1699
-15.6800	12729.5194
-15.3600	12364.9900
-15.0400	11997.0998
-14.7200	11626.3717
-14.4000	11253.3323
-14.0800	10878.5120
-13.7600	10502.4432
-13.4400	10125.6604
-13.1200	9748.6990
-12.8000	9372.0948
-12.4800	8996.3829
-12.1600	8622.0971
-11.8400	8249.7694
-11.5200	7879.9289
-11.2000	7513.1011
-10.8800	7149.8074
-10.5600	6790.5639
-10.2400	6435.8812
 -9.9200	6086.2633
 -9.6000	5742.2071
 -9.2800	5404.2014
 -8.9600	5072.7266
 -8.6400	4748.2537
 -8.3200	4431.2438
 -8.0000	4122.1475
 -7.6800	3821.4039
 -7.3600	3529.4404
 -7.0400	3246.6719
 -6.7200	2973.5003
 -6.4000	2710.3137
 -6.0800	2457.4862
 -5.7600	2215.3770
 -5.4400	1984.3302
 -5.1200	1764.6740
 -4.8000	1556.7207
 -4.4800	1360.7658
 -4.1600	1177.0877
 -3.8400	1005.9475
 -3.5200	847.5883
 -3.2000	702.2351
 -2.8800	570.0946
 -2.5600	451.3546
 -2.2400	346.1836
 -1.9200	254.7313
 -1.6000	177.1275
 -1.2800	113.4826
 -0.9600	 63.8869
 -0.6400	 28.4110
 -0.3200	  7.1053
  0.0000	  0.0000
  0.3200	  7.1053
  0.6400	 28.4110
  0.9600	 63.8869
  1.2800	113.4826
  1.6000	177.1275
  1.9200	254.7313
  2.2400	346.1836
  2.5600	451.3546
  2.8800	570.0946
  3.2000	702.2351
  3.5200	847.5883
  3.8400	1005.9475
  4.1600	1177.0877
  4.4800	1360.7658
  4.8000	1556.7207
  5.1200	1764.6740
  5.4400	1984.3302
  5.7600	2215.3770
  6.0800	2457.4862
  6.4000	2710.3137
  6.7200	2973.5003
  7.0400	3246.6719
  7.3600	3529.4404
  7.6800	3821.4039
  8.0000	4122.1475
  8.3200	4431.2438
  8.6400	4748.2537
  8.9600	5072.7266
  9.2800	5404.2014
  9.6000	5742.2071
  9.9200	6086.2633
 10.2400	6435.8812
 10.5600	6790.5639
 10.8800	7149.8074
 11.2000	7513.1011
 11.5200	7879.9289
 11.8400	8249.7694
 12.1600	8622.0971
 12.4800	8996.3829
 12.8000	9372.0948
 13.1200	9748.6990
 13.4400	10125.6604
 13.7600	10502.4432
 14.0800	10878.5120
 14.4000	11253.3323
 14.7200	11626.3717
 15.0400	11997.0998
 15.3600	12364.9900
 15.6800	12729.5194
 16.0000	13090.1699
 16.3200	13446.4292
 16.6400	13797.7910
 16.9600	14143.7558
 17.2800	14483.8322
 17.6000	14817.5367
 17.9200	15144.3953
 18.2400	15463.9435
 18.5600	15775.7270
 18.8800	16079.3030
 19.2000	16374.2399
 19.5200	16660.1187
 19.8400	16936.5331
 20.1600	17203.0902
 20.4800	17459.4115
 20.8000	17705.1324
 21.1200	17939.9040
 21.4400	18163.3925
 21.7600	18375.2804
 22.0800	18575.2666
 22.4000	18763.0668
 22.7200	18938.4142
 23.0400	19101.0597
 23.3600	19250.7721
 23.6800	19387.3386
 24.0000	19510.5652
 24.3200	19620.2767
 24.6400	19716.3173
 24.9600	19798.5505
 25.2800	19866.8594
 25.6000	19921.1470
 25.9200	19961.3361
 26.2400	19987.3696
 26.5600	19999.2104
 26.8800	19996.8419
 27.2000	19980.2673
 27.5200	19949.5102
 27.8400	19904.6143
 28.1600	19845.6433
 28.4800	19772.6812
 28.8000	19685.8316
 29.1200	19585.2179
 29.4400	19470.9830
 29.7600	19343.2894
 30.0800	19202.3185
 30.4000	19048.2705
 30.7200	18881.3645
 31.0400	18701.8375
 31.3600	18509.9448
 31.6800	18305.9590
 32.0000	18090.1699
 32.3200	17862.8843
 32.6400	17624.4251
 32.9600	17375.1312
 33.2800	17115.3568
 33.6000	16845.4711
 33.9200	16565.8576
 34.2400	16276.9136
 34.5600	15979.0498
 34.8800	15672.6895
 35.2000	15358.2679
 35.5200	15036.2320
 35.8400	14707.0393
 36.1600	14371.1577
 36.4800	14029.0644
 36.8000	13681.2455
 37.1200	13328.1954
 37.4400	12970.4158
 37.7600	12608.4151
 38.0800	12242.7076
 38.4000	11873.8131
 38.7200	11502.2559
 39.0400	11128.5638
 39.3600	10753.2681
 39.6800	10376.9018
