Current(A)	Counts(n)
-80.0000	100.0000
-77.6000	118.7381
-75.2000	136.8125
-72.8000	153.5827
-70.4000	168.4547
-68.0000	180.9017
-65.6000	190.4827
-63.2000	196.8583
-60.8000	199.8027
-58.4000	199.2115
-56.0000	195.1057
-53.6000	187.6307
-51.2000	177.0513
-48.8000	163.7424
-46.4000	148.1754
-44.0000	130.9017
-41.6000	112.5333
-39.2000	 93.7209
-36.8000	 75.1310
-34.4000	 57.4221
-32.0000	 41.2215
-29.6000	 27.1031
-27.2000	 15.5672
-24.8000	  7.0224
-22.4000	  1.7713
-20.0000	  0.0000
-17.6000	  1.7713
-15.2000	  7.0224
-12.8000	 15.5672
-10.4000	 27.1031
 -8.0000	 41.2215
 -5.6000	 57.4221
 -3.2000	 75.1310
 -0.8000	 93.7209
  1.6000	112.5333
  4.0000	130.9017
  6.4000	148.1754
  8.8000	163.7424
 11.2000	177.0513
 13.6000	187.6307
 16.0000	195.1057
 18.4000	199.2115
 20.8000	199.8027
 23.2000	196.8583
 25.6000	190.4827
 28.0000	180.9017
 30.4000	168.4547
 32.8000	153.5827
 35.2000	136.8125
 37.6000	118.7381
