Current(A)	Counts(n)
-50.0000	289.6899
-49.7600	298.9921
-49.5200	347.3835
-49.2800	325.2275
-49.0400	361.5522
-48.8000	370.1036
-48.5600	352.3800
-48.3200	365.3791
-48.0800	390.2358
-47.8400	407.7862
-47.6000	412.2516
-47.3600	417.5056
-47.1200	407.7846
-46.8800	442.0503
-46.6400	453.5090
-46.4000	428.7284
-46.1600	471.8257
-45.9200	486.0167
-45.6800	494.2514
-45.4400	500.7227
-45.2000	524.8416
-44.9600	494.2542
-44.7200	506.6219
-44.4800	524.6965
-44.2400	519.3005
-44.0000	540.7852
-43.7600	539.9114
-43.5200	540.4615
-43.2800	518.1567
-43.0400	554.5257
-42.8000	566.8612
-42.5600	601.5791
-42.3200	570.7670
-42.0800	584.1981
-41.8400	604.5561
-41.6000	592.6996
-41.3600	624.5562
-41.1200	576.3259
-40.8800	586.2961
-40.6400	598.1945
-40.4000	596.6657
-40.1600	583.1193
-39.9200	589.5022
-39.6800	631.2274
-39.4400	598.8017
-39.2000	603.7696
-38.9600	600.2603
-38.7200	564.7087
-38.4800	597.2800
-38.2400	592.0679
-38.0000	567.5124
-37.7600	571.6219
-37.5200	604.4897
-37.2800	582.9888
-37.0400	585.0096
-36.8000	545.8774
-36.5600	575.0247
-36.3200	561.7773
-36.0800	551.7342
-35.8400	536.9748
-35.6000	514.7159
-35.3600	530.3931
-35.1200	540.7333
-34.8800	514.8154
-34.6400	488.0028
-34.4000	488.6301
-34.1600	517.1713
-33.9200	468.3427
-33.6800	460.3354
-33.4400	451.0811
-33.2000	459.3375
-32.9600	461.6188
-32.7200	415.8480
-32.4800	422.0868
-32.2400	411.5361
-32.0000	395.8122
-31.7600	378.4165
-31.5200	375.1875
-31.2800	344.2099
-31.0400	336.2310
-30.8000	337.8467
-30.5600	309.0381
-30.3200	336.0735
-30.0800	300.0526
-29.8400	252.5524
-29.6000	281.4214
-29.3600	268.1437
-29.1200	275.4845
-28.8800	242.2113
-28.6400	220.6071
-28.4000	196.8039
-28.1600	209.2910
-27.9200	208.1754
-27.6800	163.1868
-27.4400	200.4381
-27.2000	157.2157
-26.9600	181.7039
-26.7200	139.8161
-26.4800	144.1287
-26.2400	126.1968
-26.0000	148.7109
-25.7600	112.4027
-25.5200	140.7558
-25.2800	 85.1622
-25.0400	 76.9607
-24.8000	 75.3700
-24.5600	 59.0948
-24.3200	 37.7154
-24.0800	 49.1167
-23.8400	 38.1702
-23.6000	 50.2507
-23.3600	 11.1173
-23.1200	 40.7477
