Current(A)	Counts(n)
-50.0000	1396.8991
-49.7600	1433.3861
-49.5200	1860.8443
-49.2800	1582.9906
-49.0400	1890.1835
-48.8000	1919.9639
-48.5600	1687.3941
-48.3200	1762.5291
-48.0800	1956.7954
-47.8400	2078.6326
-47.6000	2070.3296
-47.3600	2070.6961
-47.1200	1922.1719
-46.8800	2214.4470
-46.6400	2279.6555
-46.4000	1983.5439
-46.1600	2367.3539
-45.9200	2463.3093
-45.6800	2500.9770
-45.4400	2522.3482
-45.2000	2721.5953
-44.9600	2375.2385
-44.7200	2459.9498
-44.4800	2603.3008
-44.2400	2513.5719
-44.0000	2694.3266
-43.7600	2653.2197
-43.5200	2628.1228
-43.2800	2376.2918
-43.0400	2713.0525
-42.8000	2811.3710
-42.5600	3135.4434
-42.3200	2806.1768
-42.0800	2921.3335
-41.8400	3107.7783
-41.6000	2974.1209
-41.3600	3279.6599
-41.1200	2786.4126
-40.8800	2877.2686
-40.6400	2989.5182
-40.4000	2969.6166
-40.1600	2831.6664
-39.9200	2895.1403
-39.6800	3314.1681
-39.4400	2993.8171
-39.2000	3049.5236
-38.9600	3022.5744
-38.7200	2677.3044
-38.4800	3015.3522
-38.2400	2977.6377
-38.0000	2748.5392
-37.7600	2808.1180
-37.5200	3157.2808
-37.2800	2964.7287
-37.0400	3009.3339
-36.8000	2644.3141
-36.5600	2963.9574
-36.3200	2861.4814
-36.0800	2792.8333
-35.8400	2678.7626
-35.6000	2491.3896
-35.3600	2685.0193
-35.1200	2826.8698
-34.8800	2607.6739
-34.6400	2381.0103
-34.4000	2430.1645
-34.1600	2759.8178
-33.9200	2317.0684
-33.6800	2283.7630
-33.4400	2239.1520
-33.2000	2370.7446
-32.9600	2443.6128
-32.7200	2036.9163
-32.4800	2151.1991
-32.2400	2098.3962
-32.0000	1994.5962
-31.7600	1874.7369
-31.5200	1897.1264
-31.2800	1642.5339
-31.0400	1618.3539
-30.8000	1690.4671
-30.5600	1458.6039
-30.3200	1785.3682
-30.0800	1481.6773
-29.8400	1063.2194
-29.6000	1408.3996
-29.3600	1331.9797
-29.1200	1461.5304
-28.8800	1184.6479
-28.6400	1024.0815
-28.4000	841.0734
-28.1600	1020.4394
-27.9200	1063.1695
-27.6800	666.4855
-27.4400	1091.4413
-27.2000	710.8258
-26.9600	1006.4091
-26.7200	637.2515
-26.4800	729.0492
-26.2400	597.2818
-26.0000	868.7872
-25.7600	550.8162
-25.5200	878.1416
-25.2800	364.6216
-25.0400	323.5815
-24.8000	347.1532
-24.5600	222.3249
-24.3200	 44.8479
-24.0800	193.5173
-23.8400	117.0010
-23.6000	268.9988
-23.3600	-92.9420
-23.1200	230.9141
-22.8800	419.2960
-22.6400	 64.0045
-22.4000	127.4653
-22.1600	 88.3338
-21.9200	112.5999
-21.6800	-60.3939
-21.4400	-37.4707
-21.2000	-234.8171
-20.9600	415.4709
-20.7200	141.5310
-20.4800	143.2696
-20.2400	-199.3499
-20.0000	112.9732
-19.7600	-312.0122
-19.5200	-209.4348
-19.2800	 33.6260
-19.0400	-378.4181
-18.8000	151.7183
-18.5600	124.7815
-18.3200	109.9529
-18.0800	268.7271
-17.8400	 57.7613
-17.6000	314.8977
-17.3600	433.4797
-17.1200	162.0947
-16.8800	185.4739
-16.6400	 -1.0232
-16.4000	305.1094
-16.1600	279.9712
-15.9200	152.2293
-15.6800	277.5080
-15.4400	279.3977
-15.2000	389.8177
-14.9600	432.8982
-14.7200	704.6754
-14.4800	396.0813
-14.2400	523.9381
-14.0000	383.2910
-13.7600	613.5152
-13.5200	870.5256
-13.2800	856.2806
-13.0400	792.2638
-12.8000	993.5624
-12.5600	1043.0480
-12.3200	809.7177
-12.0800	1003.9942
-11.8400	984.1961
-11.6000	981.1459
-11.3600	1384.8703
-11.1200	940.9476
-10.8800	1026.8361
-10.6400	1333.7219
-10.4000	1403.4950
-10.1600	1509.3994
 -9.9200	1550.3368
 -9.6800	1537.1396
 -9.4400	1693.5581
 -9.2000	1817.5919
 -8.9600	1571.4402
 -8.7200	1916.2186
 -8.4800	1943.7515
 -8.2400	1742.2452
 -8.0000	1785.7626
 -7.7600	1832.7574
 -7.5200	2106.1393
 -7.2800	2315.8275
 -7.0400	2058.5993
 -6.8000	2125.0827
 -6.5600	2352.4932
 -6.3200	2483.4978
 -6.0800	2436.6763
 -5.8400	2596.8790
 -5.6000	2464.8759
 -5.3600	2472.5443
 -5.1200	2575.3782
 -4.8800	2457.9269
 -4.6400	2561.0821
 -4.4000	2414.4588
 -4.1600	2637.9892
 -3.9200	2504.7320
 -3.6800	2638.7645
 -3.4400	2679.4164
 -3.2000	2689.0241
 -2.9600	3183.6756
 -2.7200	2734.5885
 -2.4800	2852.7197
 -2.2400	3022.3596
 -2.0000	2646.4910
 -1.7600	2917.3943
 -1.5200	2865.0554
 -1.2800	3028.5472
 -1.0400	3141.1261
 -0.8000	2900.2448
 -0.5600	3072.1774
 -0.3200	2823.3157
 -0.0800	2952.7539
  0.1600	2978.8618
  0.4000	3103.3296
  0.6400	3032.7967
  0.8800	3076.2195
  1.1200	3017.7045
  1.3600	2742.3730
  1.6000	2803.8036
  1.8400	3162.2318
  2.0800	2808.2130
  2.3200	2917.4481
  2.5600	2942.1016
  2.8000	3001.7599
  3.0400	2759.1882
  3.2800	3036.7994
  3.5200	2589.9827
  3.7600	2595.0250
  4.0000	2504.4905
  4.2400	2416.3664
  4.4800	2818.3663
  4.7200	2405.3617
  4.9600	2354.9309
  5.2000	2778.2407
  5.4400	2569.6998
  5.6800	2503.9803
  5.9200	2331.2674
  6.1600	2452.1347
  6.4000	2369.6216
  6.6400	2271.9617
  6.8800	2170.3164
  7.1200	2265.3730
  7.3600	2106.3141
  7.6000	2045.9644
  7.8400	2068.0406
  8.0800	1762.4672
  8.3200	1876.1365
  8.5600	1771.4253
  8.8000	1909.7104
  9.0400	1790.2581
  9.2800	1639.4943
  9.5200	1662.4063
  9.7600	1713.0898
